poi1,poi2,cost
302,293,57928.435
302,290,36451.75017
293,290,63768.80572
70,420,28853.2222
70,422,30252.02095
420,422,19694.16329
487,491,31530.53008
487,164,43687.50057
491,164,17938.73893
296,290,68272.47562
296,795,69334.27915
290,795,75330.58036
716,572,38541.35671
716,40,44900.55095
572,40,56009.67719
303,198,44394.78617
303,293,36349.93638
198,293,40409.92715
282,283,17916.82665
282,276,26162.64133
283,276,23337.8056
893,898,50705.30468
893,398,72674.41815
898,398,74381.32851
720,716,35724.21738
720,719,43116.52169
716,719,52532.86078
645,52,41178.4459
645,60,25352.83178
52,60,49436.86555
292,296,29358.38071
292,795,52448.22911
296,795,69334.27915
426,425,19098.57266
426,417,19546.30579
425,417,20911.90208
425,419,41364.71043
425,417,20911.90208
419,417,31169.42652
70,426,21760.6154
70,420,28853.2222
426,420,16040.49329
158,164,42324.24141
490,164,57232.56491
492,166,32666.54755
492,154,21313.05334
166,154,19030.56958
620,618,40177.88955
620,624,24812.73785
618,624,44445.44734
55,292,45591.79668
55,795,59636.72092
292,795,52448.22911
47,500,47428.18336
47,497,52989.44816
500,497,62040.48453
490,487,21526.02213
490,164,57232.56491
487,164,43687.50057
56,651,48321.97948
56,55,39400.46649
651,55,24454.21777
66,70,38485.42112
66,422,22161.74954
70,422,30252.02095
197,802,38135.74323
197,194,34542.99113
802,194,24327.86228
279,278,31937.39525
279,271,20526.72442
278,271,20953.13407
618,634,46332.4863
618,632,36921.83852
634,632,46986.19792
59,651,32250.7105
59,56,32085.84865
651,56,48321.97948
502,645,48465.22974
502,54,33862.85484
645,54,46240.20385
500,498,46584.26119
500,501,55793.48835
498,501,48081.39928
418,620,27945.72239
418,624,26159.63308
620,624,24812.73785
296,302,47923.19168
296,290,68272.47562
302,290,36451.75017
283,271,29740.91019
283,276,23337.8056
271,276,26065.69708
799,222,35345.68318
799,804,46627.01556
222,804,29974.66812
166,467,40947.56322
166,160,17178.387
467,160,33279.34219
485,167,30316.46973
485,474,16768.1214
167,474,23019.83109
157,665,26658.43233
157,282,13794.93311
665,282,18157.57011
487,493,22260.08945
487,491,31530.53008
493,491,25273.37802
645,653,37035.17339
645,52,41178.4459
653,52,23639.59787
425,421,35082.02921
425,419,41364.71043
421,419,32549.88413
69,274,35039.72575
69,72,15368.19344
274,72,23536.27333
492,467,31347.88337
492,166,32666.54755
467,166,40947.56322
620,627,27909.96456
620,618,40177.88955
627,618,31536.86921
467,474,27124.19297
467,160,33279.34219
474,160,19361.89953
630,88,56038.43759
630,629,48097.54178
88,629,63620.4532
165,665,33232.30274
165,157,14512.9972
665,157,26658.43233
800,798,28544.85014
800,803,19732.73023
798,803,15095.79177
302,299,42545.93951
302,293,57928.435
299,293,50142.29363
72,70,36854.31552
72,66,22910.68971
70,66,38485.42112
493,159,37892.33841
493,491,25273.37802
159,491,19864.40366
278,274,40427.77002
278,69,21752.9703
274,69,35039.72575
493,492,33587.37917
493,159,37892.33841
492,159,23657.14473
298,303,22710.31862
298,293,44072.49885
303,293,36349.93638
88,621,57614.09904
88,629,63620.4532
621,629,48669.96606
197,800,34436.1527
197,802,38135.74323
800,802,26518.33173
55,291,41992.26142
55,292,45591.79668
291,292,26091.33665
651,646,20839.32677
651,55,24454.21777
646,55,28778.41664
296,295,37344.72041
296,302,47923.19168
295,302,26121.02711
468,490,46397.76947
72,74,37160.66956
72,70,36854.31552
74,70,16575.36678
299,298,23564.00303
299,293,50142.29363
298,293,44072.49885
634,614,43553.5846
634,630,42908.86293
614,630,47464.90531
90,717,16735.70835
90,718,20564.16613
717,718,29613.15162
49,500,39677.39963
49,47,35588.4245
500,47,47428.18336
798,223,40734.90093
798,799,21865.63001
223,799,30442.69367
279,274,31406.75135
279,278,31937.39525
274,278,40427.77002
498,499,41542.10185
498,502,29177.14499
499,502,43362.71618
493,472,28123.24736
493,492,33587.37917
472,492,22971.732
717,719,51606.18728
717,718,29613.15162
719,718,30776.00876
468,494,22625.89773
468,490,46397.76947
494,490,27009.41101
222,895,38799.54134
222,804,29974.66812
895,804,33719.2495
717,720,33526.27797
717,719,51606.18728
720,719,43116.52169
646,291,26341.53209
646,55,28778.41664
291,55,41992.26142
650,59,34982.52116
650,52,33378.1026
59,52,21944.41865
198,197,48206.28304
198,194,20703.79964
197,194,34542.99113
656,165,43758.3627
656,167,42642.95453
165,167,18622.5646
800,223,36783.36976
800,798,28544.85014
223,798,40734.90093
485,656,24392.73741
485,167,30316.46973
656,167,42642.95453
887,274,25229.56785
887,279,16444.54854
274,279,31406.75135
656,665,23503.69533
656,165,43758.3627
665,165,33232.30274
427,418,37546.11815
427,421,25572.88103
418,421,29485.11486
562,42,57371.35265
562,572,31627.38352
42,572,45864.28292
480,493,24423.8295
480,487,18896.93091
493,487,22260.08945
480,476,10394.85893
480,493,24423.8295
476,493,20945.09831
613,620,31915.79859
613,418,35074.40054
620,418,27945.72239
894,399,51021.24131
397,399,43721.29701
303,197,47471.36512
303,198,44394.78617
197,198,48206.28304
88,91,41779.62668
88,621,57614.09904
91,621,45838.12935
640,653,28362.96472
640,645,42238.42827
653,645,37035.17339
628,634,49647.31736
628,618,46639.37541
634,618,46332.4863
490,489,25008.43624
490,487,21526.02213
489,487,26085.46117
